FIRST_NAME,LAST_NAME,GENDER,EMAIL,PHONE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP_CODE,COUNTRY,AGE_GROUP,MEMBER_STATUS,ORG_TITLE,APP_ROLE,START_DATE,END_DATE,REGION,CENTER
Yatish,Merchant,M,user1@yahoo.com,1234567890,,,Fremont,California,94536,USA,SSE,Pending_Approved,President,Center Officer,5/4/2022,,Region 10,Sri Sathya Sai Center of Austin
Aparna,Chitturi,F,user2@yahoo.com,1234567890,,,Fremont,California,94536,USA,Adult,Pending_Approved,Vice President,Center Officer,5/5/2022,,Region 1,Sri Sathya Sai Center of Albany
Sai Kishore,Paluru,M,user3@yahoo.com,1234567890,,,Fremont,California,94536,USA,Adult,Pending_Approved,Devotional Coordinator,Center Officer,5/6/2022,,Region 2,Sri Sathya Sai Center of Baltimore
krishna,dube,M,user4@yahoo.com,1234567890,,,Fremont,California,94536,USA,Adult,Pending_Approved,Service Coordinator,Center Officer,5/7/2022,,Region 3,Sri Sathya Sai Center of Anderson
Prasad,Chaturvedula,M,user5@yahoo.com,1234567890,,,Fremont,California,94536,USA,Adult,Pending_Approved,Educational Coordinator,Regional Officer,5/8/2022,,Region 4,Sri Sathya Sai Group of Newtown
Sarita,Kumar,F,user6@yahoo.com,1234567890,,,Fremont,California,94536,USA,Adult,Pending_Approved,President,Center Officer,5/9/2022,,Region 5,Sri Sathya Sai Group of Atascadero
Ramakanth,Velagala,M,user7@yahoo.com,1234567890,,,Fremont,California,94536,USA,Adult,Pending_Approved,Vice President,Center Officer,5/10/2022,,Region 6,Sri Sathya Sai Group of Denver
Sairam,Tadigadapa,M,user8@yahoo.com,1234567890,,,Santa Clara,California,94538,USA,Adult,Pending_Approved,Devotional Coordinator,Center Officer,5/11/2022,,Region 7,Sri Sathya Sai Center of Champaign-Urbana
Anjali,Suresh,M,user9@yahoo.com,1234567890,,,Santa Clara,California,94538,USA,Adult,Pending_Approved,Service Coordinator,Center Officer,5/12/2022,,Region 8,Sri Sathya Sai Center of Arcadia
Paavan,Kotini,M,user10@yahoo.com,1234567890,,,Santa Clara,California,94538,USA,Adult,Pending_Approved,Educational Coordinator,Center Officer,5/13/2022,,Region 9,Sri Sathya Sai Center of Phoenix
Beverley,Getfield,M,user11@yahoo.com,1234567890,,,Santa Clara,California,94538,USA,Adult,Pending_Approved,Group Leader,Center Officer,5/14/2022,,Region 2,Sri Sathya Sai Center of Arcadia
anotheruser1,lname1,M,testuser1@yahoo.com,1234567890,,,Santa Clara,California,94538,USA,YA,Pending_Approved,President,Center Officer,5/15/2022,,Region 10,Sri Sathya Sai Center of Austin
anotheruser2,lname2,F,testuser2@yahoo.com,1234567890,,,Santa Clara,California,94538,USA,YA,Pending_Approved,Vice President,Center Officer,5/16/2022,,Region 1,Sri Sathya Sai Center of Albany
anotheruser3,lname3,M,testuser3@yahoo.com,1234567890,,,San Jose,California,94538,USA,YA,Pending_Approved,Devotional Coordinator,Center Officer,5/17/2022,,Region 2,Sri Sathya Sai Center of Baltimore
anotheruser4,lname4,M,testuser4@yahoo.com,1234567890,,,San Jose,California,94304,USA,YA,Pending_Approved,Service Coordinator,Center Officer,5/18/2022,,Region 3,Sri Sathya Sai Center of Anderson
anotheruser5,lname5,M,testuser5@yahoo.com,1234567890,,,San Jose,California,94304,USA,YA,Pending_Approved,Educational Coordinator,Regional Officer,5/19/2022,,Region 4,Sri Sathya Sai Group of Newtown
anotheruser6,lname6,F,testuser6@yahoo.com,1234567890,,,San Jose,California,94304,USA,YA,Pending_Approved,President,Center Officer,5/20/2022,,Region 5,Sri Sathya Sai Group of Atascadero
